,regime,factor,is_mean,is_p,is_n,confirmed,oos_mean,oos_t,oos_win_rate,oos_n,oos_n_eff,fdr_pass
35,nifty_above_50dma:downtrend,rvol_20d <= 1.054,-0.03464489849391386,0.06313289682728113,292,False,-0.006754042799080085,-0.62,0.4911894273127753,908,908.0,False
36,nifty_above_50dma:downtrend,rvol_open30 <= 0.6051,-0.03447496281012541,0.0675049028024269,294,True,-0.03448918961584596,-3.04,0.45930232558139533,860,860.0,False
39,nifty_above_50dma:downtrend,up_streak <= 0,-0.034049093278467786,0.05847723532453358,344,False,0.01971864654058645,1.85,0.5482062780269058,892,892.0,False
57,nifty_ret_5d:mkt_weak,rvol_20d > 0.9451,0.03348241661709513,0.22896735015608347,116,True,0.03623200260982259,2.65,0.5565693430656934,548,548.0,False
28,nifty_above_50dma:downtrend,ret_1d <= -0.01981,-0.03340777207997278,0.0654823200589178,338,False,0.02021709691312123,1.89,0.5490417136414881,887,887.0,False
65,nifty_ret_5d:mkt_weak,nifty_ret_5d <= -2.199,-0.033343404600985616,0.18029204789531575,144,False,0.046720586008973185,3.56,0.5504273504273505,585,585.0,False
47,nifty_above_50dma:downtrend,gap_idiosyncratic > -0.04755,-0.03244215317858503,0.06925385656270407,340,False,0.005767448229702926,0.52,0.506896551724138,870,870.0,False
6,nifty_above_50dma:uptrend,ret_20d > -0.2375,-0.03195003285223828,0.21524279703719465,148,False,0.018854673792715205,1.68,0.5227021040974529,903,903.0,False
63,nifty_ret_5d:mkt_weak,day_of_week > 2,-0.03154951912343473,0.30037427122704785,112,False,0.016415594628790338,1.02,0.4930232558139535,430,430.0,False
44,nifty_above_50dma:downtrend,vix_level > 15.23,-0.031104074568949206,0.08757676871547972,340,False,0.002043974107790437,0.18,0.5290628706998813,843,843.0,False
34,nifty_above_50dma:downtrend,range_compression <= 1.01,-0.030860767441821625,0.16346168870538005,211,False,0.004013308091923627,0.37,0.5133976420150054,933,933.0,False
13,nifty_above_50dma:uptrend,dist_prev_high <= -1.117,-0.03060582688837856,0.22262201258363828,149,False,0.014181262729547584,1.33,0.5309446254071661,921,921.0,False
